epoch,train_loss,val_loss,train_auc,val_auc,train_accuracy,val_accuracy,train_f1,val_f1
1,0.0,2.384185791015625e-07,,1.0,0.0,0.25,0.0,0.0
2,0.0,0.0,,1.0,0.0,0.25,0.0,0.0
3,0.0,0.0,,1.0,0.0,0.25,0.0,0.0
4,0.0,0.0,,1.0,0.5,0.25,0.6666666666666666,0.0
5,0.0,0.0,,1.0,0.0,0.25,0.0,0.0
6,0.0,0.0,,1.0,0.0,0.25,0.0,0.0
7,0.0,0.0,,1.0,0.0,0.25,0.0,0.0
8,0.0,0.0,,1.0,0.0,0.25,0.0,0.0
9,0.0,0.0,,1.0,0.0,0.25,0.0,0.0
10,0.0,0.0,,1.0,0.0,0.25,0.0,0.0
11,0.0,0.0,,1.0,0.0,0.25,0.0,0.0
12,0.0,0.0,,1.0,0.0,0.25,0.0,0.0
13,0.0,0.0,,1.0,0.0,0.25,0.0,0.0
14,0.0,0.0,,1.0,0.0,0.25,0.0,0.0
15,0.0,0.0,,1.0,0.0,0.25,0.0,0.0
16,0.0,0.0,,1.0,0.0,0.25,0.0,0.0
17,0.0,0.0,,1.0,0.0,0.25,0.0,0.0
18,0.0,0.0,,1.0,0.0,0.25,0.0,0.0
19,0.0,0.0,,1.0,0.0,0.25,0.0,0.0
20,0.0,0.0,,1.0,0.0,0.25,0.0,0.0
21,0.0,0.0,,1.0,0.0,0.25,0.0,0.0
